location,rep_period,time_step,scenario,loss_of_load
NED,1,1,2008,3741.4115477389205
NED,1,2,2008,3786.632444326863
NED,1,3,2008,3409.5601988152284
NED,1,4,2008,2502.0190947548035
NED,1,5,2008,1547.4439663705912
NED,1,6,2008,23.614350661718618
POL,1,11,2008,3.2570652557092217
BLT,1,185,2008,3.248544536567806
NOR,1,185,2008,9535.89787287239
NOR,1,186,2008,7373.8865388196655
NOR,1,257,2008,1478.8459009055314
NOR,1,258,2008,1918.0115466708444
NOR,1,259,2008,2261.4982748709804
NOR,1,260,2008,1339.8459415284308
IRE,1,379,2008,0.2870917292818831
NED,1,383,2008,120.95198145249446
NED,1,384,2008,553.5964342022387
NED,1,385,2008,994.5884630664846
NED,1,386,2008,1227.3724532379645
NED,1,387,2008,5.235602882693172
NED,1,452,2008,519.2887291675397
NED,1,522,2008,2684.9821792244575
NOR,1,522,2008,5485.278819093491
BEL,1,523,2008,4.992145193848955
NED,1,523,2008,4300.175593132476
NOR,1,523,2008,9146.754357821632
NED,1,524,2008,4130.913975861817
NOR,1,524,2008,11902.92329103336
NED,1,525,2008,43.389683768037685
NOR,1,525,2008,9839.617279006485
NOR,1,526,2008,3181.2317149184864
NOR,1,641,2008,3102.3678444339857
NOR,1,642,2008,5236.733946486638
NOR,1,643,2008,6843.161429315417
NOR,1,644,2008,4306.918396883799
NOR,1,645,2008,6.054042771657359
NOR,1,689,2008,5645.606712526588
NOR,1,690,2008,10377.918950104708
NOR,1,691,2008,10554.854397835981
NOR,1,692,2008,8785.564219715434
NOR,1,693,2008,6357.458354227326
